Partner,Year,Actual,Predicted,Model
JPN,2007,0.0,0.02366975819711742,Stacking
JPN,2007,0.01,0.05706532024362054,Stacking
JPN,2007,0.06,0.0926948081932561,Stacking
JPN,2007,0.0,0.017751401901944686,Stacking
JPN,2007,1.13,1.233051224743536,Stacking
JPN,2007,1.46,1.434062875838983,Stacking
JPN,2007,3.31,3.322024323407064,Stacking
JPN,2008,3.25,3.2902221359787083,Stacking
JPN,2008,1.49,1.4657189432576891,Stacking
JPN,2008,0.01,0.027318888776803885,Stacking
JPN,2008,0.01,-0.022282222029393062,Stacking
JPN,2008,0.07,0.0718934994660741,Stacking
JPN,2008,0.0,-0.00326557817295825,Stacking
JPN,2008,1.02,1.0923019179853746,Stacking
JPN,2009,0.02,-0.12226663837007562,Stacking
JPN,2009,0.97,0.9927774309294151,Stacking
JPN,2009,0.02,0.013337260866130296,Stacking
JPN,2009,0.0,-0.06461019172906834,Stacking
JPN,2009,0.07,0.035232843307490325,Stacking
JPN,2009,1.39,1.4176623678036395,Stacking
JPN,2009,3.26,3.253772093484065,Stacking
JPN,2010,3.32,3.264803037806765,Stacking
JPN,2010,1.23,1.2772160460171669,Stacking
JPN,2010,0.06,0.05291672696648525,Stacking
JPN,2010,0.0,-0.0032929252295573197,Stacking
JPN,2010,0.02,0.003419699363577222,Stacking
JPN,2010,0.93,0.927996595169176,Stacking
JPN,2010,0.01,0.026273588155234895,Stacking
JPN,2011,0.01,-0.038158553673593554,Stacking
JPN,2011,0.0,-0.034202069300926174,Stacking
JPN,2011,0.01,-0.025565583067914732,Stacking
JPN,2011,1.18,1.153781534589988,Stacking
JPN,2011,3.33,3.2466700990618347,Stacking
JPN,2011,0.01,-0.07361325014678805,Stacking
JPN,2011,0.76,0.7845771090242869,Stacking
JPN,2012,2.8,2.987566906729341,Stacking
JPN,2012,1.17,1.132147361475249,Stacking
JPN,2012,0.76,0.7134030637690826,Stacking
JPN,2012,0.01,-0.03768840493346076,Stacking
JPN,2012,0.01,-0.05062128285439388,Stacking
JPN,2012,0.01,-0.012897261331906107,Stacking
JPN,2012,0.0,-0.07620524320098471,Stacking
JPN,2013,0.01,0.00536856699836602,Stacking
JPN,2013,0.01,-0.02218370295467892,Stacking
JPN,2013,0.86,0.8167849819004718,Stacking
JPN,2013,0.0,-0.03241356213513419,Stacking
JPN,2013,0.01,-0.0075717042196287165,Stacking
JPN,2013,1.21,1.2038447130120682,Stacking
JPN,2013,2.9,2.91611982320885,Stacking
JPN,2014,0.01,0.012925934170169295,Stacking
JPN,2014,0.0,0.0059673627595693834,Stacking
JPN,2014,3.36,3.1945557214600906,Stacking
JPN,2014,1.41,1.3338033811425223,Stacking
JPN,2014,0.85,0.8864333841687668,Stacking
JPN,2014,0.01,-0.02403181917087599,Stacking
JPN,2014,0.02,0.028582426201776256,Stacking
JPN,2015,1.52,1.48981318604718,Stacking
JPN,2015,0.01,0.04100832802233584,Stacking
JPN,2015,0.0,0.020704632359460573,Stacking
JPN,2015,2.91,3.143269694578664,Stacking
JPN,2015,0.02,0.05424971873727974,Stacking
JPN,2015,0.85,0.898820488992,Stacking
JPN,2015,0.02,0.03341319192175579,Stacking
JPN,2016,1.09,1.2830539520817739,Stacking
JPN,2016,0.0,-0.011217017236671845,Stacking
JPN,2016,0.96,0.9162459786263955,Stacking
JPN,2016,0.02,0.024877457004137127,Stacking
JPN,2016,0.0,0.00796186168812657,Stacking
JPN,2016,0.0,0.00461628862109853,Stacking
JPN,2016,3.35,3.1667905819605537,Stacking
JPN,2017,0.06,0.015264180377282999,Stacking
JPN,2017,0.94,0.9467597452574594,Stacking
JPN,2017,0.02,0.02547550320493197,Stacking
JPN,2017,3.19,3.251137244931455,Stacking
JPN,2017,0.01,0.010429246559440275,Stacking
JPN,2017,0.0,0.0064741763919825,Stacking
JPN,2017,1.12,1.1142188404855997,Stacking
JPN,2018,1.16,1.1355257977479691,Stacking
JPN,2018,3.17,3.1478580107804017,Stacking
