Partner,HS code,Product Name,Year,TariffRate
Belize,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,15.78
Belize,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,19.74
Brunei,39,PLASTICS AND ARTICLES THEREOF,2005,0
Brunei,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,5.59
Brunei,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,17.77
Brunei,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,2.67
Bulgaria,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,2.25
Bulgaria,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,10.28
Myanmar,73,ARTICLES OF IRON OR STEEL,2007,1.78
Myanmar,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,1.13
Myanmar,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,1.76
Burundi,39,PLASTICS AND ARTICLES THEREOF,2007,27.6
Burundi,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,9.35
Burundi,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,6.19
Burundi,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,21.2
Cambodia,73,ARTICLES OF IRON OR STEEL,2007,15.27
Cambodia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,26.11
Cambodia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,6.86
Cameroon,39,PLASTICS AND ARTICLES THEREOF,2011,10.58
Cameroon,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2011,10.8
Cameroon,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,24.34
Cameroon,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,25.08
Canada,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.71
Cayman Islands,39,PLASTICS AND ARTICLES THEREOF,2016,22
Cayman Islands,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2016,13.98
Central African Republic,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,10
Sri Lanka,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,8.7
Chad,39,PLASTICS AND ARTICLES THEREOF,2005,18.95
